"vst.mean"	"vst.variance"	"vst.variance.expected"	"vst.variance.standardized"	"vst.variable"
"681"	1910.361	570616.655334335	184782.660012981	3.08804221832422	1
"4311"	1725.781	461174.966005005	157754.800649409	2.92336565420858	1
"158"	91.221	1306.45661561562	2905.27037912602	0.449685036202596	0
"3503"	91.63	1327.86696696697	2923.31365107858	0.45423349166691	0
"2904"	91.254	1310.36384784785	2906.72538875978	0.450804143010888	0
"2261"	91.323	1330.67334434435	2909.76813844933	0.457312500869395	0
"2133"	91.219	1323.38041941942	2905.1822012692	0.455524069657755	0
"542"	91.216	1302.3516956957	2905.04993545808	0.448306130576147	0
"2199"	91.129	1303.01337237237	2901.21473558974	0.449126828286121	0
"3366"	91.081	1313.71615515515	2899.09918441321	0.453146329804186	0
"3083"	90.84	1258.14654654655	2888.48188750374	0.435573631944722	0
"2553"	91.098	1285.15955555555	2899.84840785486	0.443181633934529	0
"4756"	91.086	1320.48508908909	2899.31954034706	0.455446552445553	0
"3882"	91.099	1307.00820720721	2899.89248099254	0.450709195521573	0
"3996"	90.962	1307.8444004004	2893.85567327592	0.451938364610936	0
"2159"	91.381	1375.32716616617	2912.32628993495	0.472243502013947	0
"4256"	90.671	1267.53429329329	2881.04108018828	0.439957035673528	0
"3766"	90.837	1293.39382482482	2888.34976967303	0.447796814085727	0
"4652"	90.877	1291.67554654654	2890.11143724475	0.44692932248244	0
"4345"	90.9	1308.46046046047	2891.12449055238	0.452578387660666	0
"759"	90.859	1286.94005905906	2889.31866102015	0.445412988335688	0
"3797"	90.751	1291.02402302302	2884.56289112636	0.447563139286905	0
"1325"	90.851	1327.80860760761	2888.96632959137	0.459613735891281	0
"4741"	90.961	1323.10658558558	2893.81161796836	0.457219321869504	0
"3045"	90.8	1332.8008008008	2886.72041295022	0.461700688027034	0
"4071"	90.841	1307.00472372372	2888.52592704147	0.452481562131036	0
"2729"	90.564	1277.55345745746	2876.33196533316	0.444160643783508	0
"412"	90.733	1308.51622722723	2883.77041079696	0.453751873702597	0
"993"	90.172	1210.50291891892	2859.09268791578	0.423387085013096	0
"1254"	90.951	1343.72232132132	2893.3710720564	0.46441409962888	0
"198"	90.411	1270.15423323323	2869.6009734124	0.44262399023472	0
"1516"	90.597	1298.26885985986	2877.78414953118	0.451134898380535	0
"4969"	90.059	1224.76428328328	2854.12694687656	0.429120465234952	0
"4282"	90.515	1302.18395895896	2874.17595463657	0.453063410003933	0
"4996"	90.313	1272.52155255255	2865.29123029587	0.444115955508351	0
"1028"	90.535	1311.65643143143	2875.05592105728	0.456219450141712	0
"1984"	90.629	1321.18854754755	2879.19246413974	0.458874689345332	0
