"orig.ident"	"nCount_RNA"	"nFeature_RNA"	"phenoid"	"RNA_snn_res.2"	"seurat_clusters"	"ident"	"sizeFactor"	"TSNE_1"	"TSNE_2"
"cell_1"	1	16475	2465	1	6	14	14	1.00363840993605	0.364739069993549	-0.286893879379801
"cell_2"	1	19192	2674	1	13	3	3	1.17364900424427	-1.29080066183039	2.18026141335888
"cell_3"	1	11561	2071	1	22	29	29	0.683416438088919	-3.99866916051002	1.41267185634079
"cell_4"	1	18627	2659	1	1	1	1	1.14029535554136	-0.938284865471922	-1.13783935674397
"cell_5"	1	13130	2157	1	24	4	4	0.79215052273064	-2.19408679657482	0.290845151847935
"cell_6"	1	4561	1139	1	18	25	25	0.305261999650816	3.88892327233111	3.37150244478497
"cell_7"	1	13886	2205	1	8	16	16	0.854026015151023	-2.48394712556881	2.72017331087827
"cell_8"	1	26082	3015	1	13	3	3	1.67757777020331	2.12022631392213	0.12209311636527
"cell_9"	1	6053	1423	1	4	12	12	0.378541399551235	-0.65869772709371	-4.52555072402138
"cell_10"	1	20190	2753	1	10	18	18	1.28871489193467	-0.770503619040159	-0.161358091054369
"cell_11"	1	4891	1182	1	12	20	20	0.299612367263202	-1.0690900717751	4.74994231548022
"cell_12"	1	21045	2920	1	25	31	31	1.49306470426257	0.00801202170796831	6.29853869681548
"cell_13"	1	15550	2397	1	28	6	6	0.933408745486325	-1.58424111716365	-2.84911865101379
"cell_14"	1	15010	2488	1	6	14	14	1.01719494354325	-3.01280671240643	-3.72398074839312
"cell_15"	1	10486	1956	1	30	8	8	0.646186297714186	1.28014333679291	2.94054151655689
"cell_16"	1	17154	2504	1	5	13	13	1.03217393657773	-3.27276919596045	0.00669477338695197
"cell_17"	1	4445	1161	1	27	5	5	0.295180316505006	3.40402960151724	-3.96485510781085
"cell_18"	1	9693	1870	1	8	16	16	0.61795792785254	3.47457260492495	-0.890587447766574
"cell_19"	1	13589	2296	1	32	10	10	0.817904368207431	-4.15235575391779	0.00466024934540959
"cell_20"	1	20369	2725	1	24	4	4	1.27719038906073	0.147820952835191	0.232694480539348
"cell_21"	1	8226	1673	1	20	27	27	0.50008086767071	-4.36793617596243	-0.730982746967779
"cell_22"	1	27087	3031	1	3	11	11	1.64255183695295	-0.584859043644248	-2.38733638347593
"cell_23"	1	30190	3129	1	4	12	12	1.80687777675168	-0.466220313083267	1.69244418134561
"cell_24"	1	19024	2636	1	27	5	5	1.20405976243871	-0.360585698227566	-1.64758546680109
"cell_25"	1	8609	1691	1	29	7	7	0.530694378736327	3.16470653057536	4.05345292778302
